,0,1,2,3,4,5,6,7,8,9,10,11,12,13
72,3,13,2,1,7,2,1,8,1,2,2,2,5,3
73,3,13,2,1,7,2,1,8,1,2,2,2,5,3
74,3,14,2,1,7,2,1,8,1,2,2,2,5,3
75,3,14,2,1,7,2,1,8,1,2,2,2,5,3
76,3,14,2,1,7,2,1,9,1,2,2,2,5,3
77,3,14,2,1,7,2,1,9,1,2,2,2,5,3
78,3,14,2,1,7,2,1,9,1,2,2,2,5,3
79,3,14,2,1,7,2,1,9,1,2,2,2,5,3
80,3,14,2,1,7,2,1,9,1,2,2,2,6,3
81,3,14,2,1,7,2,1,9,1,2,2,2,6,3
82,3,14,3,1,7,2,1,9,1,2,2,2,6,3
83,3,14,3,1,7,2,1,9,1,2,2,2,6,3
84,3,14,3,1,7,2,1,9,1,3,2,2,6,3
85,3,14,3,1,7,2,1,9,1,3,2,2,6,3
86,3,14,3,1,7,2,1,9,1,3,3,2,6,3
87,3,14,3,1,7,2,1,9,1,3,3,2,6,3
88,3,15,3,1,7,2,1,9,1,3,3,2,6,3
89,3,15,3,1,7,2,1,9,1,3,3,2,6,3
90,3,15,3,1,7,2,1,9,1,3,3,2,6,3
91,3,15,3,1,7,2,1,9,1,4,3,2,6,3
92,3,15,3,1,7,2,1,9,1,4,3,2,6,4
93,3,15,3,1,7,2,1,9,1,4,3,2,6,4
94,3,15,3,1,7,2,1,9,1,4,3,2,6,4
95,3,15,3,1,7,2,1,9,1,4,3,2,7,4
96,3,15,3,1,7,2,1,9,1,4,4,2,7,4
97,3,15,3,1,7,2,1,9,1,4,4,2,7,4
98,3,15,3,1,7,2,1,9,1,4,4,2,7,4
99,3,15,3,1,7,2,1,9,1,4,5,2,7,4
100,3,16,3,1,7,2,1,9,1,4,5,2,7,4
